===== HCA-BGP STEP 1 =====
Số điểm: 20 | K mong muốn: 3
|Umin| (theo bài gốc) = 0.667
  M=   3  	 Mdg=2.000
  M= 282  	 Mdg=1.000
  M= 285  	 Mdg=1.000
  M= 288  	 Mdg=1.000
  M= 291  	 Mdg=1.000
  M= 294  	 Mdg=1.000
  M= 297  	 Mdg=1.000
  M= 300  	 Mdg=1.000
  M= 303  	 Mdg=1.000
  M= 306  	 Mdg=1.000
  M= 309  	 Mdg=1.000
  M= 312  	 Mdg=1.000
  M= 315  	 Mdg=1.000
  M= 318  	 Mdg=1.000
  M= 321  	 Mdg=1.000
  M= 324  	 Mdg=1.000
  M= 327  	 Mdg=1.000
  M= 330  	 Mdg=1.000
  M= 333  	 Mdg=1.000
  M= 336  	 Mdg=1.000
  M= 339  	 Mdg=1.000
  M= 342  	 Mdg=1.000
  M= 345  	 Mdg=1.000
  M= 348  	 Mdg=1.000
  M= 351  	 Mdg=1.000
  M= 354  	 Mdg=1.000
  M= 357  	 Mdg=1.000
  M= 360  	 Mdg=1.000
  M= 363  	 Mdg=1.000
  M= 366  	 Mdg=1.000
  M= 369  	 Mdg=1.000
  M= 372  	 Mdg=1.000
  M= 375  	 Mdg=1.000
  M= 378  	 Mdg=1.000
  M= 381  	 Mdg=1.000
  M= 384  	 Mdg=1.000
  M= 387  	 Mdg=1.000
  M= 390  	 Mdg=1.000
  M= 393  	 Mdg=1.000
  M= 396  	 Mdg=1.000
  M= 399  	 Mdg=1.000
  M= 402  	 Mdg=1.000
  M= 405  	 Mdg=1.000
  M= 408  	 Mdg=1.000
  M= 411  	 Mdg=1.000
  M= 414  	 Mdg=1.000
  M= 417  	 Mdg=1.000
  M= 420  	 Mdg=1.000
  M= 423  	 Mdg=1.000
  M= 426  	 Mdg=1.000
  M= 429  	 Mdg=1.000
  M= 432  	 Mdg=1.000
  M= 435  	 Mdg=1.000
  M= 438  	 Mdg=1.000
  M= 441  	 Mdg=1.000
  M= 444  	 Mdg=1.000
  M= 447  	 Mdg=1.000
  M= 450  	 Mdg=1.000
  M= 453  	 Mdg=1.000
  M= 456  	 Mdg=1.000
  M= 459  	 Mdg=1.000
  M= 462  	 Mdg=1.000
  M= 465  	 Mdg=1.000
  M= 468  	 Mdg=1.000
  M= 471  	 Mdg=1.000
  M= 474  	 Mdg=1.000
  M= 477  	 Mdg=1.000
  M= 480  	 Mdg=1.000
  M= 483  	 Mdg=1.000
  M= 486  	 Mdg=1.000
  M= 489  	 Mdg=1.000
  M= 492  	 Mdg=1.000
  M= 495  	 Mdg=1.000
  M= 498  	 Mdg=1.000

===== KẾT QUẢ STEP 1 (BẢN GỐC) =====
Số điểm: 20
K mong muốn: 3
|Umin| = 0.667
Chọn M = 6
Mdg(M) = 1.000
R = Mdg/2 = 0.500
Bước 3: Chia đệ quy (XỬ LÝ Ô DENSE)
 Đầu vào: M=6, R=1.0000, Số điểm=20

==========================================================================================
CHI TIẾT QUÁ TRÌNH CHIA LƯỚI ĐỆ QUY (STEP 3)
==========================================================================================

📌 Ngưỡng mật độ R = 1.0
📌 Ngưỡng pj < 0.1 (độ lệch tâm)
📌 Ngưỡng Dj < 0.5 (độ phân tán)
📌 Độ sâu tối đa max_depth = 5

📖 NGUYÊN LÝ: Ô Dense sẽ được chia đôi mỗi chiều → tạo 2^T = 4 ô con (T=2 chiều)
   Tiếp tục chia cho đến khi: (1) đạt max_depth, (2) count < R, hoặc (3) ô trở thành Core

📊 Tổng số ô ban đầu: 36

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 1: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (0, 0)
   • Level (cấp độ chia): 1
   • Biên X: [2.2620, 3.5197]
   • Biên Y: [1.4140, 2.8035]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 2
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (2.9520, 2.7400)
   • Điểm 2: (2.3260, 1.9010)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/2) × Σ(xi) = (1/2) × 5.2780 = 2.6390
   Cy = (1/2) × Σ(yi) = (1/2) × 4.6410 = 2.3205
   ✅ Cj = (2.6390, 2.3205)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (3.5197 + 2.2620) / 2 = 2.8908
   Gy = (2.8035 + 1.4140) / 2 = 2.1087
   ✅ Gj = (2.8908, 2.1087)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(2.8908 - 2.6390)² + (2.1087 - 2.3205)²]
              = √[0.063420 + 0.044838] = 0.329026
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.329026 / 1.874149 = 0.175560
   ✅ pj = 0.175560 >= 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.2739 + 0.2739
                 = 0.547899
   STPGj = √[(1/2) × 0.547899] = 0.523402
   Dj = 0.523402 / 1.874149 = 0.279274
   ✅ Dj = 0.279274 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (2) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.1756) < 0.1 VÀ Dj (0.2793) < 0.5? → KHÔNG

   ═══════════════════════════════════════════════════════════════
   🔶 KẾT LUẬN: DENSE + KHÔNG ĐỒNG NHẤT → TIẾP TỤC CHIA
   ═══════════════════════════════════════════════════════════════

▶ CHIA Ô THÀNH 4 Ô CON (2x2):
   Tâm chia: mid_X = (2.2620 + 3.5197)/2 = 2.8908
             mid_Y = (1.4140 + 2.8035)/2 = 2.1087

   ┌─────────────────────────────────────────────────────────────────────────────┐
   │ Ô con        │ X range                    │ Y range                    │ Điểm │
   ├─────────────────────────────────────────────────────────────────────────────┤
   │ Bottom-Left  │ [2.2620, 2.8908)  │ [1.4140, 2.1087)  │    1 │
   │ Bottom-Right │ [2.8908, 3.5197)  │ [1.4140, 2.1087)  │    0 │
   │ Top-Left     │ [2.2620, 2.8908)  │ [2.1087, 2.8035)  │    0 │
   │ Top-Right    │ [2.8908, 3.5197)  │ [2.1087, 2.8035)  │    1 │
   └─────────────────────────────────────────────────────────────────────────────┘
   → Tổng: 1 + 0 + 0 + 1 = 2 điểm
   → Thêm 4 ô con vào hàng đợi xử lý (Level 2)

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 2                              │
   │ Cj            │ (2.6390, 2.3205)               │
   │ Gj            │ (2.8908, 2.1087)               │
   │ pj            │ 0.175560                        │
   │ Dj            │ 0.279274                        │
   │ Phân loại     │ DIVIDED                        │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 2: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (1, 0)
   • Level (cấp độ chia): 1
   • Biên X: [3.5197, 4.7773]
   • Biên Y: [1.4140, 2.8035]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 2
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (3.7360, 2.7050)
   • Điểm 2: (4.7530, 2.3220)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/2) × Σ(xi) = (1/2) × 8.4890 = 4.2445
   Cy = (1/2) × Σ(yi) = (1/2) × 5.0270 = 2.5135
   ✅ Cj = (4.2445, 2.5135)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (4.7773 + 3.5197) / 2 = 4.1485
   Gy = (2.8035 + 1.4140) / 2 = 2.1087
   ✅ Gj = (4.1485, 2.1087)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(4.1485 - 4.2445)² + (2.1087 - 2.5135)²]
              = √[0.009216 + 0.163823] = 0.415979
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.415979 / 1.874149 = 0.221956
   ✅ pj = 0.221956 >= 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.2952 + 0.2952
                 = 0.590489
   STPGj = √[(1/2) × 0.590489] = 0.543364
   Dj = 0.543364 / 1.874149 = 0.289926
   ✅ Dj = 0.289926 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (2) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.2220) < 0.1 VÀ Dj (0.2899) < 0.5? → KHÔNG

   ═══════════════════════════════════════════════════════════════
   🔶 KẾT LUẬN: DENSE + KHÔNG ĐỒNG NHẤT → TIẾP TỤC CHIA
   ═══════════════════════════════════════════════════════════════

▶ CHIA Ô THÀNH 4 Ô CON (2x2):
   Tâm chia: mid_X = (3.5197 + 4.7773)/2 = 4.1485
             mid_Y = (1.4140 + 2.8035)/2 = 2.1087

   ┌─────────────────────────────────────────────────────────────────────────────┐
   │ Ô con        │ X range                    │ Y range                    │ Điểm │
   ├─────────────────────────────────────────────────────────────────────────────┤
   │ Bottom-Left  │ [3.5197, 4.1485)  │ [1.4140, 2.1087)  │    0 │
   │ Bottom-Right │ [4.1485, 4.7773)  │ [1.4140, 2.1087)  │    0 │
   │ Top-Left     │ [3.5197, 4.1485)  │ [2.1087, 2.8035)  │    1 │
   │ Top-Right    │ [4.1485, 4.7773)  │ [2.1087, 2.8035)  │    1 │
   └─────────────────────────────────────────────────────────────────────────────┘
   → Tổng: 0 + 0 + 1 + 1 = 2 điểm
   → Thêm 4 ô con vào hàng đợi xử lý (Level 2)

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 2                              │
   │ Cj            │ (4.2445, 2.5135)               │
   │ Gj            │ (4.1485, 2.1087)               │
   │ pj            │ 0.221956                        │
   │ Dj            │ 0.289926                        │
   │ Phân loại     │ DIVIDED                        │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 13: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (0, 2)
   • Level (cấp độ chia): 1
   • Biên X: [2.2620, 3.5197]
   • Biên Y: [4.1930, 5.5825]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 2
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (2.2620, 5.0260)
   • Điểm 2: (3.4570, 4.4560)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/2) × Σ(xi) = (1/2) × 5.7190 = 2.8595
   Cy = (1/2) × Σ(yi) = (1/2) × 9.4820 = 4.7410
   ✅ Cj = (2.8595, 4.7410)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (3.5197 + 2.2620) / 2 = 2.8908
   Gy = (5.5825 + 4.1930) / 2 = 4.8877
   ✅ Gj = (2.8908, 4.8877)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(2.8908 - 2.8595)² + (4.8877 - 4.7410)²]
              = √[0.000982 + 0.021536] = 0.150058
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.150058 / 1.874149 = 0.080067
   ✅ pj = 0.080067 < 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.4382 + 0.4382
                 = 0.876462
   STPGj = √[(1/2) × 0.876462] = 0.661990
   Dj = 0.661990 / 1.874149 = 0.353222
   ✅ Dj = 0.353222 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (2) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.0801) < 0.1 VÀ Dj (0.3532) < 0.5? → CÓ (CORE)

   ═══════════════════════════════════════════════════════════════
   🟢 KẾT LUẬN: CORE (pj < 0.1 VÀ Dj < 0.5) → DỪNG CHIA
   ═══════════════════════════════════════════════════════════════

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 2                              │
   │ Cj            │ (2.8595, 4.7410)               │
   │ Gj            │ (2.8908, 4.8877)               │
   │ pj            │ 0.080067                        │
   │ Dj            │ 0.353222                        │
   │ Phân loại     │ CORE                           │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 27: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (2, 4)
   • Level (cấp độ chia): 1
   • Biên X: [4.7773, 6.0350]
   • Biên Y: [6.9720, 8.3615]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 2
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (5.1620, 8.0920)
   • Điểm 2: (5.2850, 7.7440)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/2) × Σ(xi) = (1/2) × 10.4470 = 5.2235
   Cy = (1/2) × Σ(yi) = (1/2) × 15.8360 = 7.9180
   ✅ Cj = (5.2235, 7.9180)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (6.0350 + 4.7773) / 2 = 5.4062
   Gy = (8.3615 + 6.9720) / 2 = 7.6667
   ✅ Gj = (5.4062, 7.6667)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(5.4062 - 5.2235)² + (7.6667 - 7.9180)²]
              = √[0.033367 + 0.063127] = 0.310634
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.310634 / 1.874149 = 0.165747
   ✅ pj = 0.165747 >= 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.0341 + 0.0341
                 = 0.068117
   STPGj = √[(1/2) × 0.068117] = 0.184549
   Dj = 0.184549 / 1.874149 = 0.098471
   ✅ Dj = 0.098471 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (2) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.1657) < 0.1 VÀ Dj (0.0985) < 0.5? → KHÔNG

   ═══════════════════════════════════════════════════════════════
   🔶 KẾT LUẬN: DENSE + KHÔNG ĐỒNG NHẤT → TIẾP TỤC CHIA
   ═══════════════════════════════════════════════════════════════

▶ CHIA Ô THÀNH 4 Ô CON (2x2):
   Tâm chia: mid_X = (4.7773 + 6.0350)/2 = 5.4062
             mid_Y = (6.9720 + 8.3615)/2 = 7.6667

   ┌─────────────────────────────────────────────────────────────────────────────┐
   │ Ô con        │ X range                    │ Y range                    │ Điểm │
   ├─────────────────────────────────────────────────────────────────────────────┤
   │ Bottom-Left  │ [4.7773, 5.4062)  │ [6.9720, 7.6667)  │    0 │
   │ Bottom-Right │ [5.4062, 6.0350)  │ [6.9720, 7.6667)  │    0 │
   │ Top-Left     │ [4.7773, 5.4062)  │ [7.6667, 8.3615)  │    2 │
   │ Top-Right    │ [5.4062, 6.0350)  │ [7.6667, 8.3615)  │    0 │
   └─────────────────────────────────────────────────────────────────────────────┘
   → Tổng: 0 + 0 + 2 + 0 = 2 điểm
   → Thêm 4 ô con vào hàng đợi xử lý (Level 2)

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 2                              │
   │ Cj            │ (5.2235, 7.9180)               │
   │ Gj            │ (5.4062, 7.6667)               │
   │ pj            │ 0.165747                        │
   │ Dj            │ 0.098471                        │
   │ Phân loại     │ DIVIDED                        │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 32: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (1, 5)
   • Level (cấp độ chia): 1
   • Biên X: [3.5197, 4.7773]
   • Biên Y: [8.3615, 9.7510]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 3
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (3.8910, 9.0120)
   • Điểm 2: (4.4590, 9.1370)
   • Điểm 3: (4.5510, 9.5500)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/3) × Σ(xi) = (1/3) × 12.9010 = 4.3003
   Cy = (1/3) × Σ(yi) = (1/3) × 27.6990 = 9.2330
   ✅ Cj = (4.3003, 9.2330)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (4.7773 + 3.5197) / 2 = 4.1485
   Gy = (9.7510 + 8.3615) / 2 = 9.0562
   ✅ Gj = (4.1485, 9.0562)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(4.1485 - 4.3003)² + (9.0562 - 9.2330)²]
              = √[0.023053 + 0.031241] = 0.233011
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.233011 / 1.874149 = 0.124329
   ✅ pj = 0.124329 >= 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.2164 + 0.0344 + 0.1633
                 = 0.414109
   STPGj = √[(1/3) × 0.414109] = 0.371532
   Dj = 0.371532 / 1.874149 = 0.198240
   ✅ Dj = 0.198240 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (3) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.1243) < 0.1 VÀ Dj (0.1982) < 0.5? → KHÔNG

   ═══════════════════════════════════════════════════════════════
   🔶 KẾT LUẬN: DENSE + KHÔNG ĐỒNG NHẤT → TIẾP TỤC CHIA
   ═══════════════════════════════════════════════════════════════

▶ CHIA Ô THÀNH 4 Ô CON (2x2):
   Tâm chia: mid_X = (3.5197 + 4.7773)/2 = 4.1485
             mid_Y = (8.3615 + 9.7510)/2 = 9.0562

   ┌─────────────────────────────────────────────────────────────────────────────┐
   │ Ô con        │ X range                    │ Y range                    │ Điểm │
   ├─────────────────────────────────────────────────────────────────────────────┤
   │ Bottom-Left  │ [3.5197, 4.1485)  │ [8.3615, 9.0562)  │    1 │
   │ Bottom-Right │ [4.1485, 4.7773)  │ [8.3615, 9.0562)  │    0 │
   │ Top-Left     │ [3.5197, 4.1485)  │ [9.0562, 9.7510)  │    0 │
   │ Top-Right    │ [4.1485, 4.7773)  │ [9.0562, 9.7510)  │    2 │
   └─────────────────────────────────────────────────────────────────────────────┘
   → Tổng: 1 + 0 + 0 + 2 = 3 điểm
   → Thêm 4 ô con vào hàng đợi xử lý (Level 2)

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 3                              │
   │ Cj            │ (4.3003, 9.2330)               │
   │ Gj            │ (4.1485, 9.0562)               │
   │ pj            │ 0.124329                        │
   │ Dj            │ 0.198240                        │
   │ Phân loại     │ DIVIDED                        │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 34: Ô tại Level 1
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (3, 5)
   • Level (cấp độ chia): 1
   • Biên X: [6.0350, 7.2927]
   • Biên Y: [8.3615, 9.7510]
   • Kích thước: ΔX = 1.2577, ΔY = 1.3895
   • Số điểm |Mj|: 2
   • Thuộc vùng Dense trước: Không

▶ DANH SÁCH ĐIỂM TRONG Ô:
   • Điểm 1: (6.2960, 8.6420)
   • Điểm 2: (6.6150, 8.7050)

▶ TÍNH TRỌNG TÂM DỮ LIỆU Cj:
   Cx = (1/2) × Σ(xi) = (1/2) × 12.9110 = 6.4555
   Cy = (1/2) × Σ(yi) = (1/2) × 17.3470 = 8.6735
   ✅ Cj = (6.4555, 8.6735)

▶ TÍNH TÂM HÌNH HỌC LƯỚI Gj:
   Gx = (7.2927 + 6.0350) / 2 = 6.6638
   Gy = (9.7510 + 8.3615) / 2 = 9.0562
   ✅ Gj = (6.6638, 9.0562)

▶ TÍNH ĐỘ LỆCH TÂM pj:
   ||Gj - Cj|| = √[(6.6638 - 6.4555)² + (9.0562 - 8.6735)²]
              = √[0.043403 + 0.146498] = 0.435776
   Đường chéo = √[1.2577² + 1.3895²] = 1.874149
   pj = 0.435776 / 1.874149 = 0.232519
   ✅ pj = 0.232519 >= 0.1

▶ TÍNH ĐỘ PHÂN TÁN Dj:
   Σ||xi - Cj||² = 0.0264 + 0.0264
                 = 0.052865
   STPGj = √[(1/2) × 0.052865] = 0.162581
   Dj = 0.162581 / 1.874149 = 0.086749
   ✅ Dj = 0.086749 < 0.5

▶ KIỂM TRA ĐIỀU KIỆN VÀ QUYẾT ĐỊNH:
   Điều kiện 1: Level (1) >= max_depth (5)? → KHÔNG
   Điều kiện 2: count (2) < R (1.0)? → KHÔNG
   Điều kiện 3: pj (0.2325) < 0.1 VÀ Dj (0.0867) < 0.5? → KHÔNG

   ═══════════════════════════════════════════════════════════════
   🔶 KẾT LUẬN: DENSE + KHÔNG ĐỒNG NHẤT → TIẾP TỤC CHIA
   ═══════════════════════════════════════════════════════════════

▶ CHIA Ô THÀNH 4 Ô CON (2x2):
   Tâm chia: mid_X = (6.0350 + 7.2927)/2 = 6.6638
             mid_Y = (8.3615 + 9.7510)/2 = 9.0562

   ┌─────────────────────────────────────────────────────────────────────────────┐
   │ Ô con        │ X range                    │ Y range                    │ Điểm │
   ├─────────────────────────────────────────────────────────────────────────────┤
   │ Bottom-Left  │ [6.0350, 6.6638)  │ [8.3615, 9.0562)  │    2 │
   │ Bottom-Right │ [6.6638, 7.2927)  │ [8.3615, 9.0562)  │    0 │
   │ Top-Left     │ [6.0350, 6.6638)  │ [9.0562, 9.7510)  │    0 │
   │ Top-Right    │ [6.6638, 7.2927)  │ [9.0562, 9.7510)  │    0 │
   └─────────────────────────────────────────────────────────────────────────────┘
   → Tổng: 2 + 0 + 0 + 0 = 2 điểm
   → Thêm 4 ô con vào hàng đợi xử lý (Level 2)

   📋 TÓM TẮT:
   ┌───────────────┬────────────────────────────────┐
   │ Thông số      │ Giá trị                        │
   ├───────────────┼────────────────────────────────┤
   │ Level         │ 1                              │
   │ |Mj|          │ 2                              │
   │ Cj            │ (6.4555, 8.6735)               │
   │ Gj            │ (6.6638, 9.0562)               │
   │ pj            │ 0.232519                        │
   │ Dj            │ 0.086749                        │
   │ Phân loại     │ DIVIDED                        │
   └───────────────┴────────────────────────────────┘

──────────────────────────────────────────────────────────────────────────────────────────
🔷 BƯỚC 37: Ô tại Level 2
──────────────────────────────────────────────────────────────────────────────────────────

▶ THÔNG TIN Ô LƯỚI:
   • Vị trí gốc (ix, iy): (0, 0)
   • Level (cấp độ chia): 2
   • Biên X: [2.2620, 2.8908]
   • Biên Y: [1.4140, 2.1087]
   • Kích thước: ΔX = 0.6288, ΔY = 0.6947
   • Số điểm |Mj|: 1
   • Thuộc vùng Dense trước: Có

